"OBJECTID","LOCATION_TYPE","dist_from_quarry_m","latitude","longitude"
438,"QUARRY",1096.21689005833,-27.126753,-109.287531
415,"QUARRY",1096.83928978519,-27.127273,-109.287397
630,"QUARRY",1098.17583841141,-27.125274,-109.287774
566,"QUARRY NOT BEDROCK",1098.26203531065,-27.126526,-109.287603
506,"QUARRY",1098.63535923123,-27.125355,-109.287773
567,"QUARRY NOT BEDROCK",1099.14859876401,-27.126517,-109.287614
416,"QUARRY",1102.10271451268,-27.127216,-109.287469
661,"QUARRY",1109.07331578167,-27.12599,-109.287809
660,"QUARRY",1110.4379394108,-27.126082,-109.287809
568,"QUARRY NOT BEDROCK",1110.81539356913,-27.126564,-109.287724
489,"QUARRY",1111.19188510784,-27.126041,-109.287823
692,"QUARRY",1111.50847235953,-27.12462,-109.287927
627,"QUARRY",1113.19260918071,-27.126429,-109.287776
626,"QUARRY",1113.88849073795,-27.126465,-109.287776
497,"QUARRY",1115.15066132189,-27.126063,-109.28786
500,"QUARRY",1116.00118048685,-27.125987,-109.28788
498,"QUARRY",1116.23848732811,-27.126083,-109.287868
499,"QUARRY",1119.09108902019,-27.126051,-109.287902
397,"QUARRY NOT BEDROCK",1120.10730551612,-27.126484,-109.287836
398,"QUARRY",1120.1117064594,-27.126538,-109.287825
